Fluxo de Trabalho;Responsável;Sprint;Tipo de História;Sub-Classificação;Pontuação;Duração estimada;Duração total do impedimento;Motivo do impedimento;Squad;Aberto em;Finalizado em
Ativado - Disponível para uso;Desenvolvedor 3;SPRINT 1 RELEASE 2;Atividades Pura-Infra;Pura-Infra;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;26/03/2025 11:22:30;15/04/2025 09:14:13
Ativado - Disponível para uso;Desenvolvedor 12;SPRINT 4 RELEASE 1;Atividades Pura-Infra;Pura-Infra;2;Até 2 semanas - 10 dias úteis (P);0;;Squad 2;26/03/2025 14:49:00;31/03/2025 10:32:58
Ativado - Disponível para uso;Desenvolvedor 20;SPRINT 1 RELEASE 2;Produto Digital com Software;Adequação  a um novo requisito não-funcional;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;27/03/2025 10:14:33;23/04/2025 09:53:47
Ativado - Disponível para uso;Desenvolvedor 22;A - Sprint 2 R2 2025;Produto Digital com Software;Nova funcionalidade;5;Até 1 semana - 5 dias úteis (PP);1814095;Dependências externas;Squad 6;27/03/2025 11:19:23;07/05/2025 19:33:05
Ativado - Disponível para uso;Desenvolvedor 1;;Atividades Pura-Infra;Pura-Infra;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;27/03/2025 11:59:14;01/04/2025 10:03:50
Ativado - Disponível para uso;Desenvolvedor 34; - Sprint 1_R2_2025;Atividades Pura-Infra;Pura-Infra;5;Até 2 semanas - 10 dias úteis (P);0;;Squad 4;27/03/2025 16:25:31;30/04/2025 09:52:03
Ativado - Disponível para uso;Desenvolvedor 1;;Atividades Pura-Infra;Pura-Infra;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;28/03/2025 10:16:19;07/04/2025 18:04:49
Ativado - Disponível para uso;Desenvolvedor 16;;Atividades Pura-Infra;Pura-Infra;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;28/03/2025 16:38:43;31/03/2025 22:32:04
Benefício capturado;Desenvolvedor 15;2025-R2-SP02;Dados e Analytics;SOR   System of Records;;Até 1 semana - 5 dias úteis (PP);0;;Squad 1;28/03/2025 19:09:27;24/04/2025 09:50:18
Ativado - Disponível para uso;Desenvolvedor 12;SPRINT 0 RELEASE 2;Atividades Pura-Infra;Pura-Infra;2;Até 2 semanas - 10 dias úteis (P);0;;Squad 2;31/03/2025 11:13:34;03/04/2025 10:39:38
Ativado - Disponível para uso;Desenvolvedor 35; - Sprint 4_R1_2025;Atividades Pura-Infra;Pura-Infra;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 4;31/03/2025 12:23:46;04/04/2025 11:34:51
Benefício capturado;Desenvolvedor 35; - Sprint 1_R2_2025;Produto Digital com Software;Nova funcionalidade;2;Até 3 semanas - 15 dias úteis (M);0;;Squad 4;31/03/2025 17:16:31;29/04/2025 12:04:15
Ativado - Disponível para uso;Desenvolvedor 36; - Sprint 1_R2_2025;Produto Digital com Software;Evolução Técnica;2;Até 3 semanas - 15 dias úteis (M);164059;Infraestrutura/Ambiente;Squad 4;31/03/2025 17:29:28;23/04/2025 19:29:46
Ativado - Disponível para uso;Desenvolvedor 11;;Produto Digital com Software;Alteração de funcionalidade ;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;01/04/2025 11:53:32;07/04/2025 15:14:24
Ativado - Disponível para uso;Desenvolvedor 14;2025-R2-SP01;Dados e Analytics;SOR   System of Records;;Até 2 semanas - 10 dias úteis (P);0;;Squad 1;01/04/2025 17:31:57;09/04/2025 10:22:13
Ativado - Disponível para uso;Desenvolvedor 18;_I1_R1_25;Parametrização de Software;Parametrizações;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 7;01/04/2025 18:16:59;03/04/2025 11:09:37
Ativado - Disponível para uso;Desenvolvedor 27;RELEASE 2;Produto Digital com Software;Alteração de funcionalidade ;5;Até 1 semana - 5 dias úteis (PP);90043;;Squad 8;02/04/2025 16:26:28;13/05/2025 10:44:54
Ativado - Disponível para uso;Desenvolvedor 21;A - Sprint 2 R2 2025;Produto Digital com Software;Nova funcionalidade;5;Até 1 semana - 5 dias úteis (PP);1622496;Dependências externas;Squad 6;03/04/2025 11:26:23;13/05/2025 19:55:39
Ativado - Disponível para uso;Desenvolvedor 21;A - Sprint 2 R2 2025;Produto Digital com Software;Nova funcionalidade;5;Até 1 semana - 5 dias úteis (PP);1032769;Dependências externas;Squad 6;03/04/2025 17:54:53;16/05/2025 19:14:21
Ativado - Disponível para uso;Desenvolvedor 15;2025-R2-SP01;Produto Digital com Software;Nova funcionalidade;;Até 1 semana - 5 dias úteis (PP);0;;Squad 1;03/04/2025 18:42:27;22/04/2025 16:44:38
Ativado - Disponível para uso;Desenvolvedor 16;SPRINT 1 RELEASE 2;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;04/04/2025 11:08:06;22/04/2025 12:33:36
Benefício capturado;Desenvolvedor 5;_R2_25;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;04/04/2025 15:35:50;24/04/2025 11:33:43
